Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
02-MAY-2023,10.9475,12.0625,10.9475,11.8975,10.9475,0.95,8.68
03-MAY-2023,11.8975,12.25,11.13,11.84,11.8975,-0.06,-0.48
04-MAY-2023,11.84,12.03,11.185,11.7325,11.84,-0.11,-0.91
05-MAY-2023,11.7325,12.375,11.53,12.295,11.7325,0.56,4.79
08-MAY-2023,12.295,12.91,11.7225,12.635,12.295,0.34,2.77
09-MAY-2023,12.635,12.815,11.6575,12.6775,12.635,0.04,0.34
10-MAY-2023,12.6775,13.2975,11.5425,13.0825,12.6775,0.41,3.19
11-MAY-2023,13.0825,13.74,12.815,13.215,13.0825,0.13,1.01
12-MAY-2023,13.215,13.51,12.7375,12.8525,13.215,-0.36,-2.74
15-MAY-2023,12.8525,13.615,12.5375,13.1725,12.8525,0.32,2.49
16-MAY-2023,13.1725,13.485,11.71,13.2925,13.1725,0.12,0.91
17-MAY-2023,13.2925,13.58,11.895,13.105,13.2925,-0.19,-1.41
18-MAY-2023,13.105,13.105,11.1375,12.795,13.105,-0.31,-2.37
19-MAY-2023,12.795,12.82,11.6875,12.3025,12.795,-0.49,-3.85
22-MAY-2023,12.3025,12.82,11.555,12.57,12.3025,0.27,2.17
23-MAY-2023,12.57,13.075,12.3175,12.605,12.57,0.04,0.28
24-MAY-2023,12.605,13.4375,12.41,13.1125,12.605,0.51,4.03
25-MAY-2023,13.1125,13.1325,8.1825,12.52,13.1125,-0.59,-4.52
26-MAY-2023,12.52,12.8575,11.7,11.9,12.52,-0.62,-4.95
29-MAY-2023,11.9,12.4925,8.8075,12.2975,11.9,0.40,3.34
30-MAY-2023,12.2975,12.38,11.7675,12.01,12.2975,-0.29,-2.34
31-MAY-2023,12.01,12.4675,11.58,11.9725,12.01,-0.04,-0.31
01-JUN-2023,11.9725,11.9725,11.22,11.5975,11.9725,-0.38,-3.13
02-JUN-2023,11.5975,11.735,10.86,11.125,11.5975,-0.47,-4.07
05-JUN-2023,11.125,11.335,10.3225,11.1375,11.125,0.01,0.11
06-JUN-2023,11.1375,11.6175,10.465,11.38,11.1375,0.24,2.18
07-JUN-2023,11.38,11.5375,9.6375,11.4425,11.38,0.06,0.55
08-JUN-2023,11.4425,11.5675,10.13,11.2575,11.4425,-0.19,-1.62
09-JUN-2023,11.2575,11.2975,10.3075,11.12,11.2575,-0.14,-1.22
12-JUN-2023,11.12,11.8025,10.5825,11.245,11.12,0.13,1.12
13-JUN-2023,11.245,11.25,9.99,11.11,11.245,-0.14,-1.20
14-JUN-2023,11.11,11.3675,10.6325,11.1625,11.11,0.05,0.47
15-JUN-2023,11.1625,11.37,9.6925,11.08,11.1625,-0.08,-0.74
16-JUN-2023,11.08,11.08,10.5575,10.84,11.08,-0.24,-2.17
19-JUN-2023,10.84,11.4975,10.33,11.225,10.84,0.39,3.55
20-JUN-2023,11.225,11.4375,10.5675,11.1325,11.225,-0.09,-0.82
21-JUN-2023,11.1325,11.4325,10.77,11.2925,11.1325,0.16,1.44
22-JUN-2023,11.2925,11.7125,10.6925,11.5475,11.2925,0.26,2.26
23-JUN-2023,11.5475,11.8375,11.1425,11.235,11.5475,-0.31,-2.71
26-JUN-2023,11.235,11.925,11.235,11.395,11.235,0.16,1.42
27-JUN-2023,11.395,11.4225,10.6925,10.7775,11.395,-0.62,-5.42
28-JUN-2023,10.7775,11.535,10.6525,10.8875,10.7775,0.11,1.02
30-JUN-2023,10.8875,11.215,10.07,10.8,10.8875,-0.09,-0.80
03-JUL-2023,10.8,12.03,10.8,11.54,10.8,0.74,6.85
04-JUL-2023,11.54,11.99,11.5225,11.7,11.54,0.16,1.39
05-JUL-2023,11.7,12.21,11.5675,11.8825,11.7,0.18,1.56
06-JUL-2023,11.8825,12.205,11.7775,11.84,11.8825,-0.04,-0.36
07-JUL-2023,11.84,12.0725,11.08,11.5325,11.84,-0.31,-2.60
10-JUL-2023,11.5325,12.01,11.36,11.4625,11.5325,-0.07,-0.61
11-JUL-2023,11.4625,11.4625,10.945,11.0125,11.4625,-0.45,-3.93
12-JUL-2023,11.0125,11.2,10.72,10.935,11.0125,-0.08,-0.70
13-JUL-2023,10.935,11.1725,10.695,10.9375,10.935,0.00,0.02
14-JUL-2023,10.9375,10.9375,10.6125,10.6825,10.9375,-0.26,-2.33
17-JUL-2023,10.6825,11.3975,9.8575,11.315,10.6825,0.63,5.92
18-JUL-2023,11.315,12.02,11.0675,11.71,11.315,0.40,3.49
19-JUL-2023,11.71,11.9375,11.54,11.6,11.71,-0.11,-0.94
20-JUL-2023,11.6,12.255,11.37,11.785,11.6,0.19,1.59
21-JUL-2023,11.785,12.0325,11.06,11.485,11.785,-0.30,-2.55
24-JUL-2023,11.485,11.995,10.5375,11.6525,11.485,0.17,1.46
25-JUL-2023,11.6525,11.6525,10.1125,10.2425,11.6525,-1.41,-12.10
26-JUL-2023,10.2425,10.8625,10.2175,10.4575,10.2425,0.22,2.10
27-JUL-2023,10.4575,10.9825,9.8875,10.5125,10.4575,0.06,0.53
28-JUL-2023,10.5125,10.81,10.035,10.135,10.5125,-0.38,-3.59
31-JUL-2023,10.135,11.1875,10.135,10.4125,10.135,0.28,2.74
01-AUG-2023,10.4125,10.7025,10.195,10.2825,10.4125,-0.13,-1.25
02-AUG-2023,10.2825,11.805,9.95,11.2775,10.2825,1.00,9.68
03-AUG-2023,11.2775,11.96,10.9825,11.185,11.2775,-0.09,-0.82
04-AUG-2023,11.185,11.185,10.4825,10.5725,11.185,-0.61,-5.48
07-AUG-2023,10.5725,11.4175,10.4025,11.1025,10.5725,0.53,5.01
08-AUG-2023,11.1025,11.53,11.1025,11.325,11.1025,0.22,2.00
09-AUG-2023,11.325,11.765,10.485,11.14,11.325,-0.19,-1.63
10-AUG-2023,11.14,11.91,10.6275,11.4,11.14,0.26,2.33
11-AUG-2023,11.4,11.865,11.355,11.5225,11.4,0.12,1.07
14-AUG-2023,11.5225,12.755,10.4775,11.995,11.5225,0.47,4.10
16-AUG-2023,11.995,12.6825,11.995,12.125,11.995,0.13,1.08
17-AUG-2023,12.125,12.665,12.1125,12.24,12.125,0.12,0.95
18-AUG-2023,12.24,12.4925,10.7875,12.1425,12.24,-0.10,-0.80
21-AUG-2023,12.1425,12.59,11.1725,11.96,12.1425,-0.18,-1.50
22-AUG-2023,11.96,12.085,11.59,11.7475,11.96,-0.21,-1.78
23-AUG-2023,11.7475,11.885,10.3075,11.7275,11.7475,-0.02,-0.17
24-AUG-2023,11.7275,12.235,10.1975,11.7,11.7275,-0.03,-0.23
25-AUG-2023,11.7,12.2425,9.98,12.0825,11.7,0.38,3.27
28-AUG-2023,12.0825,12.72,9.5,12.3975,12.0825,0.32,2.61